Date,Close,High,Low,Open,Volume
2024-05-29,19.68476676940918,19.68476676940918,19.6161448734042,19.625948268520116,5044300
2024-05-30,19.655357360839844,19.743586050563447,19.645555835143004,19.70437433835657,79000
2024-05-31,19.674964904785156,19.674964904785156,19.488704122706615,19.635753191077693,103600
2024-06-03,19.439687728881836,19.68476700023426,19.439687728881836,19.674963605003388,45100
2024-06-04,19.582815170288086,19.660260688638264,19.46909914408024,19.508310857673557,68900
2024-06-05,19.68084716796875,19.74358665735055,19.596539459894124,19.60634285569876,114500
2024-06-06,19.630849838256836,19.841618167398256,19.616145679881644,19.841618167398256,316100
2024-06-07,20.00631332397461,20.018076277142427,19.920044188184296,19.939650979937237,41300
2024-06-10,20.096500396728516,20.20433587524415,19.98866491821288,20.20433587524415,109100
2024-06-11,20.179826736450195,20.194532764513674,20.076893889038317,20.194532764513674,38700
2024-06-12,20.19061279296875,20.20433717331202,20.057288104140888,20.106305083800127,34000
2024-06-13,20.292564392089844,20.321972707941494,20.21413910014136,20.263154206431743,40900
2024-06-14,20.361186981201172,20.429808880263778,20.32197339899025,20.429808880263778,92500
2024-06-17,20.567052841186523,20.616069819338172,20.434709804886865,20.439612437605295,35800
2024-06-18,20.59254264831543,20.616070424557613,20.508234939264824,20.606267028639486,34200
2024-06-20,20.567052841186523,20.81213212252518,20.527841128471735,20.81213212252518,85000
2024-06-21,20.652339935302734,20.704298118140237,20.60626603349984,20.62587282438922,15000
2024-06-24,20.44941520690918,20.596462397247294,20.44941520690918,20.508233709083132,163800
2024-06-25,20.50823402404785,20.586659318086397,20.46902044212533,20.557249131644504,37300
2024-06-26,20.76311683654785,21.645401867857604,20.625873038510438,20.625873038510438,22300
2024-06-27,20.76311683654785,20.84154213111302,20.674888146436228,20.723903254362014,33100
2024-06-28,20.687633514404297,21.674812857863326,20.687633514404297,20.763117606122655,332900
2024-07-01,20.988590240478516,22.880602657948444,20.719003395510953,20.753314346517374,41800
2024-07-02,20.929771423339844,21.027803511818153,20.910164631682868,20.910164631682868,41500
2024-07-03,20.80232810974121,20.929770379348074,20.665084314601337,20.929770379348074,53300
2024-07-05,20.712141036987305,20.821936079315574,20.694495672299773,20.753314177860407,14900
2024-07-08,20.772920608520508,20.792525530162177,20.699396075492977,20.723903629899972,33800
2024-07-09,20.733707427978516,20.861149705058484,20.733707427978516,20.753314219807216,31900
2024-07-10,20.76311683654785,20.79252515338072,20.60724602603021,20.655281355343305,84300
2024-07-11,20.494510650634766,20.537645218906185,20.390596149282988,20.537645218906185,82200
2024-07-12,20.40039825439453,20.527840524029752,20.34157975215099,20.527840524029752,30600
2024-07-15,20.616069793701172,20.635674715130925,20.542545261468394,20.567052815610477,43900
2024-07-16,20.518037796020508,20.625873278479652,20.469020817717926,20.625873278479652,382300
2024-07-17,20.42490577697754,20.478823516371996,20.3611865120627,20.4298084095442,6900
2024-07-18,20.450395584106445,20.49843091376531,20.400398827401567,20.488627518148284,13600
