Date,Close,High,Low,Open,Volume
2023-09-06,19.668846130371094,19.811828095450714,19.664929097727036,19.664929097727036,176000
2023-09-07,19.4857120513916,20.291699921062552,19.390717001459887,19.48865029296669,24300
2023-09-08,19.67961883544922,19.713895206681112,19.537617526598,19.537617526598,18300
2023-09-11,19.713895797729492,19.753069861981654,19.586583824754353,19.73348282985557,17600
2023-09-12,19.596378326416016,19.792243053761247,19.586584809860412,19.792243053761247,13000
2023-09-13,19.606170654296875,19.762863173842085,19.58658362237318,19.733482625956544,11500
2023-09-14,19.880380630493164,19.978313917268032,19.782449211640376,19.782449211640376,2300
2023-09-15,19.635549545288086,19.909762391400324,19.60617086500898,19.909762391400324,35900
2023-09-18,19.586584091186523,19.762863646874756,19.586584091186523,19.733483098285976,63800
2023-09-19,19.745235443115234,19.771675881298087,19.557202926743724,19.684516765363778,11900
2023-09-20,19.526844024658203,19.65513665736014,19.488650619386714,19.65513665736014,27800
2023-09-21,19.20464515686035,19.478856122356806,19.20464515686035,19.478856122356806,1700
2023-09-22,19.07733154296875,19.258508782040288,19.07733154296875,19.258508782040288,4400
2023-09-25,19.369173049926758,19.371132500351255,19.243818656659247,19.302577886405125,2200
2023-09-26,19.153718948364258,19.273196843638964,19.10671082315932,19.273196843638964,8200
2023-09-27,19.4896297454834,19.55720370023671,19.292786232495267,19.32216491339863,7600
2023-09-28,19.36721420288086,19.576791348330843,19.34175255410255,19.44947936859471,3400
2023-09-29,19.264385223388672,19.379946104834715,19.214440716743596,19.322165664111694,12800
2023-10-02,19.601272583007812,19.601272583007812,19.462207647716404,19.537617532370994,226000
2023-10-03,19.439685821533203,19.576791317637507,19.37113307348105,19.576791317637507,14300
2023-10-04,19.259489059448242,19.34175235639894,19.155679279065975,19.30257829046683,14300
2023-10-05,18.955896377563477,19.116505928775087,18.93043286265801,19.116505928775087,6900
2023-10-06,19.31237030029297,19.34077205625466,18.99898526897398,19.175264816071444,12600
2023-10-09,19.06460189819336,19.14588640660666,18.974504532194484,19.116507724091623,12300
2023-10-10,19.20464515686035,19.26340438262072,19.20464515686035,19.248715043161155,27600
2023-10-11,19.185060501098633,19.273200284613576,19.13609478488915,19.273200284613576,17200
2023-10-12,19.400510787963867,19.53174166192224,19.36133859156815,19.488650564756977,13400
2023-10-13,19.192893981933594,19.420098708776553,19.192893981933594,19.420098708776553,2400
2023-10-16,19.400510787963867,19.526843969921405,19.400510787963867,19.400510787963867,3800
2023-10-17,19.572874069213867,19.586584618673427,19.42989209115782,19.488651321995604,2000
2023-10-18,19.400510787963867,19.53761814515437,19.400510787963867,19.53761814515437,3500
2023-10-19,19.23304557800293,19.45927149873375,19.22423085332946,19.4582908395997,5900
2023-10-20,18.873632431030273,19.18505990550455,18.873632431030273,19.18505990550455,10200
2023-10-23,18.68657875061035,18.88146653504868,18.68657875061035,18.84914774686504,61500
2023-10-24,18.818790435791016,18.8814685686254,18.754154720384424,18.836418018552394,2000
2023-10-25,18.739465713500977,18.802141979530486,18.68560230504813,18.744361537941085,5700
2023-10-26,18.385927200317383,18.59746192629701,18.385927200317383,18.59746192629701,27400
2023-10-27,18.22237777709961,18.372215017003903,18.21552250295918,18.372215017003903,3900
2023-10-30,18.391803741455078,18.47994352220996,18.244902861582087,18.35262967537634,7100
2023-10-31,18.70224952697754,18.70224952697754,18.4221620680397,18.4221620680397,45200
2023-11-01,18.666013717651367,18.76394700960238,18.636635037611587,18.76394700960238,75300
2023-11-02,18.830541610717773,18.830541610717773,18.5289076782209,18.5289076782209,194400
2023-11-03,18.66895294189453,18.69539524965989,18.577874919548464,18.636636018565316,21200
2023-11-06,18.785491943359375,18.785491943359375,18.693435133020298,18.78353436088194,13200
2023-11-07,18.852088928222656,18.881469479523897,18.852088928222656,18.871675962423485,107700
2023-11-08,18.847190856933594,19.04795326375398,18.69539416185587,18.812912617207125,176600
2023-11-09,18.805078506469727,19.008779154373038,18.705187632868828,19.008779154373038,17300
2023-11-10,19.145883560180664,19.145883560180664,18.881466117244685,18.881466117244685,2700
2023-11-13,19.08614730834961,19.145885329245036,19.028366869953114,19.028366869953114,5300
2023-11-14,19.096920013427734,19.220314958629807,19.096920013427734,19.14588572783172,6600
2023-11-15,19.322162628173828,19.349583723332408,19.263403405394296,19.30355625699708,3000
2023-11-16,19.214439392089844,19.214439392089844,19.14588478022613,19.160575988158012,5200
2023-11-17,19.2731990814209,19.2731990814209,19.14588523854848,19.14588523854848,9300
2023-11-20,19.361337661743164,19.361337661743164,19.18505811662274,19.18505811662274,2700
2023-11-21,19.205625534057617,19.233046632871716,19.03816069945406,19.175266193524546,32800
2023-11-22,19.356441497802734,19.41813896988031,19.341752157190623,19.346647981420574,6400
2023-11-24,19.332935333251953,19.332935333251953,19.332935333251953,19.332935333251953,100
2023-11-27,19.258508682250977,19.34175076361836,19.258508682250977,19.34175076361836,14600
2023-11-28,19.185060501098633,19.22423270048175,19.165473467445903,19.22423270048175,21000
2023-11-29,19.106712341308594,19.23402431159253,19.106712341308594,19.19485211609061,12000
2023-11-30,19.224231719970703,19.224231719970703,19.028366997200294,19.194853038912377,12900
2023-12-01,19.271238327026367,19.271238327026367,19.204645036361683,19.204645036361683,500
2023-12-04,19.149803161621094,19.185058323857156,19.047952839692325,19.165471292427288,6600
2023-12-05,19.094961166381836,19.126301167229915,19.02836786740491,19.102797100555023,9400
