Price,Close,High,Low,Open,Volume
Ticker,RSSB,RSSB,RSSB,RSSB,RSSB
Date,,,,,
2025-05-19,23.97557830810547,23.97557830810547,23.637214756405523,23.637214756405523,43000
2025-05-20,23.917573928833008,23.956245103578254,23.826698880913405,23.898238341460388,55100
2025-05-21,23.3858585357666,23.888570907421517,23.3858585357666,23.71938912522176,39600
2025-05-22,23.443862915039062,23.627547305729,23.395525790935803,23.43419512142979,32600
2025-05-23,23.424528121948242,23.54053980524936,23.366523202269256,23.405192534074196,10500
2025-05-27,23.941741943359375,23.985246091980976,23.70488745726415,23.75322458064679,33000
2025-05-28,23.695220947265625,23.907906883189796,23.695220947265625,23.907906883189796,24700
2025-05-29,23.90790557861328,23.949477274891013,23.762892364580463,23.927241165535804,19900
2025-05-30,24.014249801635742,24.014249801635742,23.733889319131833,23.90790591600418,53900
2025-06-02,24.072254180908203,24.072254180908203,23.81122929143745,23.820897084818927,21600
2025-06-03,24.091590881347656,24.091590881347656,23.97364674695033,24.03358596232046,23300
2025-06-04,24.342947006225586,24.342947006225586,24.15926261878861,24.15926261878861,75800
2025-06-05,24.20760154724121,24.357447735433674,24.130259199860518,24.33231294768939,31600
2025-06-06,24.236602783203125,24.27527395641422,24.120592951455894,24.236602783203125,20600
2025-06-09,24.304275512695312,24.352614479249592,24.110925178307298,24.110925178307298,20700
2025-06-10,24.390317916870117,24.391284143031545,24.27527430959648,24.367115581394494,28800
2025-06-11,24.4202880859375,24.54596571571126,24.4202880859375,24.449291466935954,24500
2025-06-12,24.574968338012695,24.594303924748054,24.468624454911268,24.468624454911268,35700
2025-06-13,24.168930053710938,24.4009515609534,24.153461215650896,24.333278851833892,31000
2025-06-16,24.43962287902832,24.603003608030335,24.275274079930984,24.603003608030335,29300
2025-06-17,24.304275512695312,24.47829210440465,24.1689300942294,24.47829210440465,43400
2025-06-18,24.178598403930664,24.439623297069467,24.16893061041333,24.280107469948064,45500
2025-06-20,24.10125732421875,24.526631009108545,24.0819217376458,24.168930033281054,28800
2025-06-23,24.36228370666504,24.449292007641517,24.11092659761556,24.11092659761556,37600
2025-06-24,24.88433074951172,24.88433074951172,24.567235235310417,24.567235235310417,76000
2025-06-25,24.772188186645508,24.82632635636201,24.690980932070755,24.82632635636201,131400
2025-06-26,25.02934455871582,25.077683527477937,24.90753367653289,24.96167184639197,80700
2025-06-27,25.174360275268555,25.261366733415187,24.990675877085305,25.087351973178762,54200
2025-06-30,25.338706970214844,27.687927413601233,25.11635324234072,25.174360005741647,79000
2025-07-01,25.319372177124023,25.319372177124023,25.14535558201877,25.184024912073788,41200
2025-07-02,25.333873748779297,25.333873748779297,25.16469196703031,25.16469196703031,55500
2025-07-03,25.416048049926758,25.42571399940021,25.30970416628827,25.358041289427735,19600
2025-07-07,25.1550235748291,25.469218568309213,25.01967630870647,25.271033409856408,21200
2025-07-08,25.039012908935547,25.15502459259976,25.039012908935547,25.07768408480467,45000
2025-07-09,25.42571449279785,25.42571449279785,25.177257913395756,25.27780075414681,23700
2025-07-10,25.38704490661621,25.45471761722028,25.268132706032148,25.300036608998678,28900
2025-07-11,25.193693161010742,25.222696542033614,25.126020449233806,25.21302874835932,27500
2025-07-14,25.173391342163086,25.17435941229048,25.087351113183335,25.087351113183335,98000
2025-07-15,24.97134017944336,25.329041180235738,24.893999671696786,25.329041180235738,194500
2025-07-16,25.077682495117188,25.12601961794632,24.908498877329148,25.029343528345017,75000
2025-07-17,25.244932174682617,25.251699445732392,25.068015057279194,25.087350644262283,30400
2025-07-18,25.213027954101562,25.55526009482947,25.1066840709775,25.329039630595364,32600
2025-07-21,25.396713256835938,25.522390887292275,25.358042081961305,25.36770987567996,30500
2025-07-22,25.47405433654785,25.541727050159952,25.367710447189896,25.367710447189896,53600
2025-07-23,25.648069381713867,25.735077677914216,25.570728878862784,25.57362755731883,35200
2025-07-24,25.628734588623047,25.725410681166284,25.60939900132578,25.667403919274484,39900
2025-07-25,25.729276657104492,25.754411444681583,25.512722142553738,25.609398232193485,31100
2025-07-28,25.483720779418945,25.763113186780615,25.483720779418945,25.599730612619748,34900
2025-07-29,25.570730209350586,25.84142106144235,25.570730209350586,25.67707225383958,30900
2025-07-30,25.42571449279785,25.678039664796064,25.39284620727558,25.61906667699391,37500
2025-07-31,25.271034240722656,25.657738620709374,25.271034240722656,25.657738620709374,58300
2025-08-01,25.30970573425293,25.338707272356064,25.164692511907745,25.30970573425293,91200
2025-08-04,25.5997314453125,25.696407538753157,25.464386020861447,25.464386020861447,64000
2025-08-05,25.551393508911133,25.710907490669534,25.551393508911133,25.628734012418278,53600
2025-08-06,25.696407318115234,25.8220849477488,25.6190668128154,25.6480701937815,80300
