Price,Close,High,Low,Open,Volume
Ticker,RSSY,RSSY,RSSY,RSSY,RSSY
Date,,,,,
2025-05-19,17.303577423095703,17.35161462472484,17.16535383922461,17.214368949711012,12600
2025-05-20,17.125160217285156,17.18496037139609,17.09182904515141,17.155550183665152,8300
2025-05-21,16.64970588684082,16.939881171848608,16.61637658433896,16.92027437992521,10500
2025-05-22,16.734012603759766,16.851651478516295,16.586965412668963,16.6212763615966,7600
2025-05-23,16.563438415527344,16.635001522337905,16.371297092509725,16.371297092509725,6700
2025-05-27,17.00164031982422,17.07712440943906,16.89086363195621,16.89086363195621,6700
2025-05-28,17.003599166870117,17.10653388185211,17.003599166870117,17.019284973194868,17300
2025-05-29,17.050655364990234,17.1065345329312,16.998699051134604,16.999678829752675,3600
2025-05-30,17.06045913696289,17.11535665769036,16.822242041059592,16.99869942614449,35200
2025-06-02,17.00065803527832,17.00065803527832,16.802634312324937,16.85165128867399,6800
2025-06-03,17.204565048217773,17.204565048217773,17.086928038583697,17.086928038583697,5400
2025-06-04,17.17711639404297,17.233975341940894,17.14574664926729,17.155550045098423,7900
2025-06-05,17.033010482788086,17.19476371005985,16.996738105021347,17.116336543038454,7100
2025-06-06,17.20162582397461,17.263385534904387,17.14574665470012,17.153588623444882,4800
2025-06-09,17.231033325195312,17.27318811226572,17.175156028375078,17.175156028375078,13600
2025-06-10,17.37220001220703,17.39474613878015,17.312399861264797,17.351613442828192,2600
2025-06-11,17.508464813232422,17.518268209062118,17.459447834083942,17.464350466902072,4100
2025-06-12,17.58296775817871,17.635903847774088,17.49375742400877,17.49375742400877,6100
2025-06-13,17.704526901245117,17.724133692661802,17.616298209676586,17.71433029695346,17200
2025-06-16,17.742759704589844,17.822164774599706,17.637865433214817,17.822164774599706,5800
2025-06-17,18.00548553466797,18.008426740390785,17.88098446470369,17.988819948776378,3100
2025-06-18,18.055479049682617,18.09665218705833,18.018226896370344,18.057440476617547,9400
2025-06-20,17.988819122314453,18.0692039725499,17.988819122314453,18.052540257230454,2100
2025-06-23,17.870201110839844,18.380946247485937,17.782952197896304,18.380946247485937,4800
2025-06-24,17.96137046813965,17.98881922737643,17.787854295904374,17.787854295904374,6800
2025-06-25,17.939802169799805,17.939802169799805,17.84863414549048,17.930000644236216,5800
2025-06-26,18.021169662475586,18.021169662475586,17.920198237227268,17.969213346974485,7700
2025-06-27,17.98979949951172,18.135866916517458,17.920197820910847,18.135866916517458,12900
2025-06-30,18.171157836914062,18.312324492471472,18.047638415656248,18.312324492471472,3700
2025-07-01,18.214292526245117,18.2829144274029,18.165277416791433,18.165277416791433,9400
2025-07-02,18.16037368774414,18.21429142677249,18.14566952975694,18.194684636251917,4000
2025-07-03,18.3917293548584,18.43976468479193,18.312324280654924,18.312324280654924,11300
2025-07-07,18.302520751953125,18.361339255757574,18.27311056514764,18.361339255757574,10900
2025-07-08,18.225074768066406,18.287816124347408,18.194684803422234,18.23389838482367,33100
2025-07-09,18.454469680786133,18.454469680786133,18.352516615257585,18.352516615257585,16100
2025-07-10,18.368202209472656,18.39075020727509,18.368202209472656,18.39075020727509,900
2025-07-11,18.390748977661133,18.390748977661133,18.233898391609962,18.26330670786551,1700
2025-07-14,18.29663848876953,18.449568095744514,18.211351003130268,18.449568095744514,7700
2025-07-15,18.249582290649414,18.33193043749175,18.24370174929433,18.33193043749175,27800
2025-07-16,18.263307571411133,18.312324550498843,17.97901657192866,18.238800016770558,13100
2025-07-17,18.496623992919922,18.567207321260337,18.352518000305658,18.352518000305658,3000
2025-07-18,18.44466781616211,18.536817494212407,18.43976518328976,18.53289650979848,11400
