Price,Close,High,Low,Open,Volume
Ticker,GLDM,GLDM,GLDM,GLDM,GLDM
Date,,,,,
2025-05-19,64.0199966430664,64.16000366210938,63.709999084472656,64.0,2718100
2025-05-20,65.23999786376953,65.26000213623047,64.1050033569336,64.11000061035156,4609300
2025-05-21,65.72000122070312,65.8499984741211,65.26000213623047,65.44000244140625,4359300
2025-05-22,65.1500015258789,65.58999633789062,64.91999816894531,65.55999755859375,4081900
2025-05-23,66.56999969482422,66.66000366210938,66.08999633789062,66.37999725341797,4482800
2025-05-27,65.44999694824219,65.51000213623047,65.06500244140625,65.27999877929688,2484100
2025-05-28,65.30999755859375,65.54000091552734,65.12999725341797,65.45999908447266,8610400
2025-05-29,65.66999816894531,65.94000244140625,65.44000244140625,65.69999694824219,2477800
2025-05-30,65.23999786376953,65.32499694824219,64.79000091552734,65.26000213623047,3682400
2025-06-02,66.9800033569336,66.98699951171875,66.3499984741211,66.47000122070312,3406000
2025-06-03,66.4000015258789,66.52999877929688,66.01000213623047,66.52999877929688,3078800
2025-06-04,66.81999969482422,67.0250015258789,66.37000274658203,66.51000213623047,2975100
2025-06-05,66.4800033569336,67.08499908447266,66.12799835205078,66.9000015258789,7327100
2025-06-06,65.58999633789062,66.44000244140625,65.56999969482422,66.43000030517578,4194700
2025-06-09,65.9000015258789,66.1050033569336,65.5790023803711,65.63999938964844,2138000
2025-06-10,65.93000030517578,66.31999969482422,65.73999786376953,66.26000213623047,4507900
2025-06-11,66.2699966430664,66.33000183105469,65.73999786376953,66.11000061035156,4023200
2025-06-12,67.0999984741211,67.29000091552734,66.87999725341797,66.9800033569336,3002500
2025-06-13,67.97000122070312,68.26000213623047,67.70999908447266,68.19499969482422,5055700
2025-06-16,67.0199966430664,67.66999816894531,66.9800033569336,67.66999816894531,4852600
2025-06-17,67.05000305175781,67.2750015258789,66.6500015258789,67.20999908447266,4407900
2025-06-18,66.69000244140625,67.27999877929688,66.6050033569336,67.23999786376953,5827700
2025-06-20,66.66000366210938,66.83000183105469,66.47100067138672,66.48500061035156,3347400
2025-06-23,66.86000061035156,67.20999908447266,66.70899963378906,66.72000122070312,6068400
2025-06-24,65.81999969482422,65.8499984741211,65.25,65.58000183105469,3813100
2025-06-25,66.02999877929688,66.06999969482422,65.58999633789062,65.62000274658203,4989900
2025-06-26,65.95999908447266,66.05999755859375,65.53500366210938,65.72000122070312,5976200
2025-06-27,64.7699966430664,65.0,64.45999908447266,64.48999786376953,5302200
2025-06-30,65.5199966430664,65.5250015258789,64.91000366210938,65.01000213623047,5413900
2025-07-01,66.08999633789062,66.41899871826172,66.06999969482422,66.31999969482422,2766800
2025-07-02,66.47000122070312,66.5,65.98999786376953,66.22000122070312,3014100
2025-07-03,66.04000091552734,66.11499786376953,65.81500244140625,66.0,1971800
2025-07-07,66.08999633789062,66.1500015258789,65.47000122070312,65.58999633789062,3083500
2025-07-08,65.4000015258789,65.87000274658203,65.08999633789062,65.8499984741211,5499000
2025-07-09,65.6500015258789,65.68000030517578,65.18499755859375,65.26000213623047,2972300
2025-07-10,65.83000183105469,65.88999938964844,65.53500366210938,65.81999969482422,2897200
2025-07-11,66.4800033569336,66.69999694824219,66.31999969482422,66.38999938964844,2756600
2025-07-14,66.2300033569336,66.51499938964844,66.16000366210938,66.45999908447266,2095000
2025-07-15,65.94999694824219,66.375,65.75,66.16999816894531,2551900
2025-07-16,66.27999877929688,66.8499984741211,65.7249984741211,66.01000213623047,8316700
2025-07-17,66.11000061035156,66.13999938964844,65.5999984741211,65.68000030517578,2793800
2025-07-18,66.30999755859375,66.51000213623047,66.29000091552734,66.51000213623047,2001400
2025-07-21,67.30999755859375,67.3499984741211,67.00499725341797,67.08000183105469,2380700
2025-07-22,67.95999908447266,67.98500061035156,67.43000030517578,67.63999938964844,3874900
2025-07-23,67.12999725341797,67.71499633789062,66.95500183105469,67.5199966430664,4343900
2025-07-24,66.72000122070312,66.86000061035156,66.44999694824219,66.48999786376953,1938300
2025-07-25,66.08999633789062,66.29000091552734,65.83999633789062,66.18000030517578,2188100
2025-07-28,65.69000244140625,65.91999816894531,65.375,65.91000366210938,2640600
2025-07-29,65.8499984741211,66.01100158691406,65.58499908447266,65.7699966430664,2554100
2025-07-30,64.7300033569336,65.51000213623047,64.70999908447266,65.45999908447266,5930400
2025-07-31,65.1500015258789,65.5,65.125,65.5,2644100
2025-08-01,66.45999908447266,66.55000305175781,66.11000061035156,66.3499984741211,4377900
2025-08-04,66.8499984741211,67.0250015258789,66.73500061035156,66.83000183105469,2474300
2025-08-05,66.91000366210938,67.12999725341797,66.72000122070312,66.7300033569336,2753100
2025-08-06,66.7699966430664,66.91999816894531,66.62999725341797,66.72000122070312,2943900
2025-08-07,67.30000305175781,67.31999969482422,66.80999755859375,67.05000305175781,3445000
2025-08-08,67.30000305175781,67.41000366210938,66.86000061035156,67.16999816894531,6179100
2025-08-11,66.37000274658203,66.58000183105469,66.1500015258789,66.33000183105469,5042000
2025-08-12,66.2699966430664,66.5,65.95999908447266,66.29000091552734,3771600
2025-08-13,66.48999786376953,66.73999786376953,66.32499694824219,66.48999786376953,1843100
2025-08-14,66.08000183105469,66.30500030517578,65.91500091552734,66.22000122070312,1942300
2025-08-15,66.12999725341797,66.22899627685547,65.99600219726562,66.11000061035156,1702800
2025-08-18,66.01000213623047,66.21499633789062,65.94000244140625,66.19999694824219,5748700
2025-08-19,65.6500015258789,66.12000274658203,65.63500213623047,65.97000122070312,2352300
2025-08-20,66.31999969482422,66.33000183105469,66.11000061035156,66.1500015258789,1860100
2025-08-21,66.0999984741211,66.26499938964844,66.03500366210938,66.19999694824219,2018600
2025-08-22,66.79000091552734,66.88800048828125,65.90499877929688,65.91999816894531,2872300
2025-08-25,66.63999938964844,66.84500122070312,66.5999984741211,66.62000274658203,1350900
2025-08-26,67.12000274658203,67.13999938964844,66.7300033569336,66.80999755859375,2138800
2025-08-27,67.25,67.28500366210938,66.83999633789062,66.97000122070312,1680900
2025-08-28,67.73999786376953,67.75499725341797,67.33499908447266,67.37999725341797,1532600
2025-08-29,68.4000015258789,68.4000015258789,67.65499877929688,67.65499877929688,2444500
2025-09-02,70.05000305175781,70.09500122070312,68.87999725341797,69.00499725341797,5010400
2025-09-03,70.58000183105469,70.86000061035156,70.27999877929688,70.5,2854800
2025-09-04,70.2699966430664,70.44999694824219,69.9800033569336,70.33999633789062,4722200
2025-09-05,71.18000030517578,71.27999877929688,70.75,70.87999725341797,3311600
2025-09-08,72.01000213623047,72.19499969482422,71.677001953125,71.76000213623047,4348100
2025-09-09,71.87000274658203,72.76000213623047,71.80999755859375,72.4800033569336,6500400
2025-09-10,72.12000274658203,72.3759994506836,71.9749984741211,72.22000122070312,3461700
2025-09-11,72.0,72.09500122070312,71.62999725341797,71.69999694824219,3177900
2025-09-12,72.16000366210938,72.3550033569336,72.11000061035156,72.25,4152800
2025-09-15,72.88999938964844,72.9749984741211,72.31999969482422,72.3499984741211,2821400
2025-09-16,73.06999969482422,73.31500244140625,72.83999633789062,73.1500015258789,6407700
2025-09-17,72.48999786376953,73.4000015258789,72.18000030517578,72.81999969482422,11617200
2025-09-18,72.19999694824219,72.33999633789062,71.80999755859375,72.33999633789062,9390900
2025-09-19,72.94999694824219,72.97000122070312,72.3499984741211,72.37999725341797,3454700
2025-09-22,74.20999908447266,74.22000122070312,73.54000091552734,73.72000122070312,4183800
2025-09-23,74.54000091552734,75.04000091552734,74.29000091552734,74.91000366210938,5811500
2025-09-24,73.8499984741211,74.60800170898438,73.5999984741211,74.58999633789062,4329800
2025-09-25,74.16999816894531,74.38899993896484,73.67500305175781,74.06999969482422,4288000
2025-09-26,74.58999633789062,74.91000366210938,74.29000091552734,74.4000015258789,3938700
2025-09-29,75.81999969482422,75.9000015258789,75.57099914550781,75.66999816894531,4442500
2025-09-30,76.44999694824219,76.47000122070312,75.48999786376953,75.55999755859375,4890200
2025-10-01,76.55999755859375,76.79000091552734,76.32499694824219,76.62999725341797,5531000
